Name,SF_TotalPop,SF_NIPOP,SF_PTDWELL,SF_PODWELL_UR,LF_POP_PRIV,LF_Households
ONS2022 - ISLAND PARK-WELLINGTON VILLAGE (3059),5490,5485,2310,2235,5460,2230
ONS2022 - KANATA LAKES (3060),19945,19705,7545,7300,19395,7300
ONS2022 - KATIMAVIK-HAZELDEAN (3061),11440,11225,4390,4330,11135,4330
"ONS2022 - Killaloe, Hagarty and Richards (3709)",2410,2410,1560,1095,2405,1095
ONS2022 - KINBURN (3062),2660,2655,995,975,2685,980
ONS2022 - Lanark Highlands (3404),5740,5735,3410,2495,5715,2490
ONS2022 - LAURENTIAN (3063),11420,11200,4945,4810,10945,4805
ONS2022 - Laurentian Hills (3710),2885,2885,1395,1250,2880,1250
ONS2022 - Laurentian Valley (3711),9460,9460,3880,3720,9465,3720
ONS2022 - LEBRETON DEVELOPMENT (3064),110,105,70,60,90,65
ONS2022 - LEDBURY-HERON GATE-RIDGEMONT (3065),14045,13975,5995,5520,14000,5520
ONS2022 - LESLIE PARK - BRUCE FARM (3066),3185,3060,1425,1385,2920,1380
ONS2022 - LOWERTOWN EAST (3067),6885,6575,4090,3585,6765,3585
ONS2022 - LOWERTOWN WEST (3068),5940,5570,4025,3495,5315,3495
ONS2022 - Madawaska Valley (3712),3925,3820,2545,1710,3645,1710
ONS2022 - MANOR PARK (3069),8060,8060,4350,4185,8150,4185
ONS2022 - MANOTICK (3070),10445,10350,3955,3835,10370,3835
ONS2022 - MARLBOROUGH (3071),2335,2330,885,855,2255,855
ONS2022 - McNab/Braeside (3713),7590,7585,3235,3035,7585,3035
ONS2022 - MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE (3072),3030,3025,1145,1125,2950,1130
ONS2022 - METCALFE (3073),5785,5750,2125,2090,5845,2085
ONS2022 - Mississippi Mills (3405),14735,14560,6240,6045,14390,6040
ONS2022 - Montague (3406),3915,3895,1555,1505,3890,1500
ONS2022 - MUNSTER - ASHTON (3075),3885,3880,1440,1425,3905,1425
ONS2022 - Richmond (3074),8610,8585,3245,3175,8490,3175
ONS2022 - NAVAN - SARSFIELD (3076),3055,3000,1125,1095,2990,1095
ONS2022 - NEW EDINBURGH (3077),5615,5410,2880,2670,5285,2670
ONS2022 - North Algona Wilberforce (3714),3110,3110,1755,1295,3075,1295
ONS2022 - North Dundas (3803),11305,11195,4670,4535,11100,4540
ONS2022 - North Glengarry (3804),10145,9970,4715,4425,9900,4425
ONS2022 - NORTH GOWER - KARS (3078),4930,4925,1820,1780,4995,1780
ONS2022 - North Grenville (3501),17965,17815,7245,7035,17805,7040
ONS2022 - North Stormont (3805),7400,7330,2945,2855,7325,2855
ONS2022 - OLD BARRHAVEN EAST (3079),24105,23895,8285,8160,23830,8165
ONS2022 - OLD BARRHAVEN WEST (3080),22320,22315,7860,7780,22415,7775
ONS2022 - OLD HUNT CLUB (3081),16635,16535,6715,6415,16460,6410
ONS2022 - OLD OTTAWA EAST (3082),8535,8525,4430,3950,8420,3955
ONS2022 - OLD OTTAWA SOUTH (3083),6480,6470,2650,2510,6430,2505
ONS2022 - ORLEANS INDUSTRIAL (3084),50,50,30,30,45,30
ONS2022 - ORLEANS VILLAGE - CHATEAUNEUF (3085),11310,11190,4265,4200,11220,4200
ONS2022 - OSGOODE - VERNON (3086),5715,5620,2110,2065,5605,2060
ONS2022 - OVERBROOK (3087),21150,21040,9520,8985,20735,8990
ONS2022 - PARKWOOD HILLS (3088),5905,5905,2420,2260,5975,2255
ONS2022 - Pembroke (3715),14365,13925,6890,6545,13635,6540
ONS2022 - Perth (3407),6470,6350,3395,3270,6195,3270
ONS2022 - Petawawa (3716),18150,18150,7170,6760,17275,6760
ONS2022 - Pikwakanagan (Golden Lake 39) (3717),490,490,190,180,480,185
ONS2022 - PINEVIEW (3089),6255,6260,2360,2325,6205,2320
ONS2022 - PLAYFAIR PARK - GUILDWOOD ESTATES (3090),6105,6105,2645,2585,6120,2580
ONS2022 - PORTOBELLO SOUTH (3091),29985,29980,10130,9985,29895,9985
ONS2022 - QUALICUM - REDWOOD (3092),4470,4465,1770,1725,4370,1725
ONS2022 - QUEENSWAY TERRACE NORTH (3093),3160,3155,1405,1340,3235,1340
ONS2022 - QUEENSWOOD - CHATELAINE (3094),4535,4520,2005,1870,4275,1865
ONS2022 - QUEENSWOOD HEIGHTS (3095),10265,10265,4195,4130,10020,4125
ONS2022 - Renfrew (3718),8190,7930,4120,3955,7855,3955
ONS2022 - RIDEAUCREST - DAVIDSON HEIGHTS (3097),14550,14440,4775,4725,14305,4725
ONS2022 - RIVERSIDE PARK - MOONEYS BAY (3098),4690,4465,2120,2055,4545,2055
ONS2022 - RIVERSIDE PARK SOUTH - REVELSTOKE (3099),3030,3015,1175,1155,2930,1150
ONS2022 - RIVERSIDE SOUTH - LEITRIM (3100),19125,19125,6660,6515,19055,6520
ONS2022 - RIVERVIEW (3101),13445,12765,6425,6075,12720,6075
ONS2022 - ROCKCLIFFE PARK (3102),1650,1645,675,575,1640,575
ONS2022 - ROTHWELL HEIGHTS - BEACON HILL NORTH (3103),10980,10530,4080,4000,10525,3995
ONS2022 - Russell (3607),19600,19525,7335,7230,19440,7225
ONS2022 - SANDY HILL (3104),13840,13630,9065,7430,13390,7430
ONS2022 - Smiths Falls (3408),9255,9145,4525,4310,9085,4310
ONS2022 - South Dundas (3806),10990,10960,4805,4630,10860,4630
ONS2022 - South Glengarry (3807),13330,13265,5850,5430,13210,5430
ONS2022 - SOUTH KEYS (3105),2780,2655,1205,1145,2700,1150
ONS2022 - South Stormont (3808),13565,13485,5585,5410,13410,5410
ONS2022 - STITTSVILLE (3106),22200,22005,7890,7785,21985,7785
ONS2022 - STITTSVILLE EAST (3107),10515,10515,3650,3515,10530,3515
ONS2022 - STITTSVILLE NORTH (3108),12855,12850,4675,4595,12715,4595
ONS2022 - STONEBRIDGE - HALF MOON BAY (3109),27815,27710,9520,9035,27260,9035
ONS2022 - Tay Valley (3409),5930,5680,3750,2420,5625,2425
ONS2022 - The Nation / La Nation (3608),13350,13210,5260,5105,13150,5105
ONS2022 - TREND-ARLINGTON (3110),4695,4690,1905,1880,4780,1875
ONS2022 - VANIER NORTH (3111),10495,10290,6060,5515,10290,5515
ONS2022 - VANIER SOUTH (3112),7325,7170,4525,4005,7090,4005
ONS2022 - VARS (3113),2810,2750,1055,1025,2825,1025
ONS2022 - WATERRIDGE VILLAGE (3114),2735,2550,1220,1125,2545,1125
ONS2022 - WEST CENTRETOWN (3115),8810,8585,5285,4765,8350,4760
ONS2022 - WESTBORO (3116),12280,12180,6790,6275,12095,6275
ONS2022 - WHITEHAVEN - WOODPARK - GLABAR PARK (3117),11430,11005,5565,5355,10805,5355
ONS2022 - Whitewater Region (3719),7220,7155,3465,2905,7090,2910
OEYCFC - 1 (Alta Vista),29835,29725,13240,12435,29495,12435
OEYCFC - 3 (Beaconhill),18730,18265,7405,7220,18230,7220
OEYCFC - 4 (Beaverbrook/Marchwood),11880,11880,4795,4725,11925,4730
OEYCFC - 5 (Bells Corners),9380,9035,3940,3860,8935,3855
OEYCFC - 7 (Blossom Park),18670,18655,6995,6705,18525,6705
OEYCFC - 8 (Bridlewood),25760,25755,9000,8900,25645,8900
OEYCFC - 10 (Carleton Heights),8575,8560,3985,3735,8445,3730
OEYCFC - 11 (Carlington),11745,11475,5770,5395,11400,5395
OEYCFC - 14 (Centre Town),31190,30940,22350,19905,30675,19905
OEYCFC - 19 (Copeland),28405,27535,12385,11975,27040,11975
OEYCFC - 21 (Cyrville),15915,15870,6415,6230,15835,6230
OEYCFC - 22 (Dalhousie),13450,13225,8250,7490,12970,7490
OEYCFC - 23 (Glebe),11920,11625,5780,5360,11530,5355
OEYCFC - 28 (Hunt Club East),31915,31770,12225,11875,31955,11875
OEYCFC - 29 (Hunt Club West),15675,15570,6255,6075,15530,6075
OEYCFC - 30 (Katimavik/Hazeldean),26180,25720,9975,9680,25380,9680
OEYCFC - 31 (Lower Town),13305,12725,8650,7370,12540,7365
OEYCFC - 33 (Nepean Central),27860,27560,11030,10725,27505,10725
OEYCFC - 34 (Nepean East),36985,36575,15085,14425,36140,14425
OEYCFC - 2 (Bayshore/Crystal Bay),11645,11645,4715,4510,11580,4505
